Id,Weekly_Sales
1_2_2013-02-22,50627.2178212092
1_2_2013-03-01,52268.65940442616
1_2_2013-03-08,50516.753690108206
1_2_2013-03-15,49551.6868729876
1_2_2013-03-22,48434.54760302394
1_2_2013-03-29,49305.83147655133
1_2_2013-04-05,52361.10145268408
1_2_2013-04-12,46548.57132983364
1_2_2013-04-19,46668.29613710506
1_2_2013-04-26,46018.4265817137
1_2_2013-05-03,49672.19807371715
1_2_2013-05-10,49190.69614161693
1_2_2013-05-17,47502.811065697286
1_2_2013-05-24,45990.252096046264
1_2_2013-05-31,47537.976450011774
1_2_2013-06-07,49582.126451292
1_2_2013-06-14,49000.82277657231
1_2_2013-06-21,49354.3285745585
1_2_2013-06-28,50256.80739871402
1_2_2013-07-05,51304.903858023245
1_2_2013-07-12,47690.32945286433
1_2_2013-07-19,47441.03004522645
1_2_2013-07-26,44874.352903901796
1_3_2012-11-02,10018.682647327356
1_3_2012-11-09,10142.10833846515
1_3_2012-11-16,10291.63317770299
1_3_2012-11-23,10174.67340288489
1_3_2012-11-30,10647.643945389476
1_3_2012-12-07,11866.369906873459
1_3_2012-12-14,12916.446873196819
1_3_2012-12-21,13755.551311628296
1_3_2012-12-28,10067.24214932337
1_3_2013-01-04,12661.724370801581
1_3_2013-01-11,12701.448777196585
1_3_2013-01-18,12229.425897163315
1_3_2013-01-25,11037.875646382132
1_3_2013-02-01,12452.180311892786
1_3_2013-02-08,12788.829129359665
1_3_2013-02-15,11354.762361477622
1_3_2013-02-22,11136.740151207625
1_3_2013-03-01,11272.052250302177
1_3_2013-03-08,11928.679972001893
1_3_2013-03-15,10076.108549636998
1_3_2013-03-22,8809.458845434476
1_3_2013-03-29,9103.761876985876
1_3_2013-04-05,9346.642430267058
1_3_2013-04-12,8364.223829965029
1_3_2013-04-19,8802.152262092062
1_3_2013-04-26,8530.644800621689
1_3_2013-05-03,9862.860082530871
1_3_2013-05-10,10572.100746764487
1_3_2013-05-17,9498.743692971511
1_3_2013-05-24,8907.977163873662
1_3_2013-05-31,7780.306188579549
1_3_2013-06-07,8480.264610938773
1_3_2013-06-14,8244.594924186513
1_3_2013-06-21,7915.26298365241
1_3_2013-06-28,7964.367139672992
1_3_2013-07-05,8604.474243135184
1_3_2013-07-12,11610.296679067114
1_3_2013-07-19,16553.9781262647
1_3_2013-07-26,20602.646273687784
1_4_2012-11-02,39802.20388390358
1_4_2012-11-09,38498.03884194027
1_4_2012-11-16,39161.13543279035
1_4_2012-11-23,45941.216517342924
1_4_2012-11-30,40652.0134681063
1_4_2012-12-07,40681.94449506511
1_4_2012-12-14,39770.14234477181
1_4_2012-12-21,46538.26442694162
1_4_2012-12-28,39071.54529028284
1_4_2013-01-04,41681.36798291226
1_4_2013-01-11,38238.66009228558
1_4_2013-01-18,35638.62178170417
1_4_2013-01-25,34908.98058760952
1_4_2013-02-01,40149.844372100095
1_4_2013-02-08,40370.93534757831
1_4_2013-02-15,37919.64458446576
1_4_2013-02-22,36993.566197242755
1_4_2013-03-01,38626.906740849256
1_4_2013-03-08,39147.913898849314
1_4_2013-03-15,39114.269367908804
1_4_2013-03-22,38859.57758133611
1_4_2013-03-29,39310.42280441482
1_4_2013-04-05,41819.941471710496
1_4_2013-04-12,38339.71595782406
1_4_2013-04-19,38041.849833481276
1_4_2013-04-26,38213.76823533503
1_4_2013-05-03,41079.91794528502
1_4_2013-05-10,37424.37422734879
1_4_2013-05-17,36691.604292527416
1_4_2013-05-24,39228.55931251457
1_4_2013-05-31,40714.19041038407
1_4_2013-06-07,42527.598377831884
1_4_2013-06-14,40913.770250630514
1_4_2013-06-21,39657.33154787836
1_4_2013-06-28,40836.15513724259
1_4_2013-07-05,43734.77327674433
1_4_2013-07-12,39936.17938697201
1_4_2013-07-19,39972.78125337124
1_4_2013-07-26,36454.88944261648
1_5_2012-11-02,32175.295286925546
1_5_2012-11-09,34240.803585520254
1_5_2012-11-16,31221.730976941068
1_5_2012-11-23,81714.26490884672
1_5_2012-11-30,33085.53104212787
1_5_2012-12-07,38631.415049400544
1_5_2012-12-14,38707.75150665513
1_5_2012-12-21,48793.83858650614
1_5_2012-12-28,35382.22508937283
1_5_2013-01-04,26051.392054623626
1_5_2013-01-11,19530.113199727122
1_5_2013-01-18,18409.387527683124
1_5_2013-01-25,19629.871116501796
1_5_2013-02-01,25651.24019140242
1_5_2013-02-08,34686.81844532131
1_5_2013-02-15,43772.315582645475
1_5_2013-02-22,30505.21115798721
1_5_2013-03-01,28710.1515565693
1_5_2013-03-08,27009.52274720876
1_5_2013-03-15,27082.609048606533
1_5_2013-03-22,25861.225764037332
1_5_2013-03-29,23080.892485581488
1_5_2013-04-05,25427.108981079375
1_5_2013-04-12,18782.360139428478
1_5_2013-04-19,16499.80760923497
1_5_2013-04-26,17136.313755957704
1_5_2013-05-03,18318.909106740546
1_5_2013-05-10,17815.147568815002
1_5_2013-05-17,18378.564083829868
1_5_2013-05-24,18632.799119341453
1_5_2013-05-31,17523.93253638172
1_5_2013-06-07,23204.83284157609
1_5_2013-06-14,21925.923559138308
1_5_2013-06-21,23918.383681896168
1_5_2013-06-28,21462.642285807753
1_5_2013-07-05,20535.526206326547
1_5_2013-07-12,18135.78746422667
1_5_2013-07-19,17921.066245544
1_5_2013-07-26,14836.914961190341
1_6_2012-11-02,5660.513248409904
1_6_2012-11-09,3997.991226735632
1_6_2012-11-16,2837.5422679262574
1_6_2012-11-23,12463.024373911361
1_6_2012-11-30,4773.4098121109055
1_6_2012-12-07,6184.2494407411
1_6_2012-12-14,7663.359900517144
1_6_2012-12-21,12818.725717948284
1_6_2012-12-28,6792.6135087214525
1_6_2013-01-04,3899.7780637616906
1_6_2013-01-11,2614.982129166522
1_6_2013-01-18,2174.408522280874
1_6_2013-01-25,1734.4166803895505
1_6_2013-02-01,2967.2465688061015
1_6_2013-02-08,4509.588390233852
1_6_2013-02-15,3810.8015855567014
1_6_2013-02-22,3638.2903550894557
1_6_2013-03-01,4614.964587799449
1_6_2013-03-08,3765.090481679459
1_6_2013-03-15,3558.1977457558687
1_6_2013-03-22,2860.9537691128417
1_6_2013-03-29,3498.5428904317814
1_6_2013-04-05,3760.170612330006
1_6_2013-04-12,4222.329701161999
1_6_2013-04-19,3065.770346449293
1_6_2013-04-26,2983.620296862547
1_6_2013-05-03,3542.3968594893568
1_6_2013-05-10,3246.672360025231
1_6_2013-05-17,4710.157507469694
1_6_2013-05-24,4496.084379794649
1_6_2013-05-31,3343.2656002200733
1_6_2013-06-07,3929.787698631211
1_6_2013-06-14,3698.3878369136423
1_6_2013-06-21,4310.20449911519
1_6_2013-06-28,4324.402782278488
1_6_2013-07-05,3087.8688232192417
1_6_2013-07-12,2777.854191954621
1_6_2013-07-19,2844.5828926234235
1_6_2013-07-26,2359.445473307631
1_7_2012-11-02,27469.42626639912
1_7_2012-11-09,29563.17269022674
1_7_2012-11-16,26575.79309060004
1_7_2012-11-23,71739.15493246465
1_7_2012-11-30,35716.88191094694
1_7_2012-12-07,46492.54767927907
1_7_2012-12-14,62487.07885505732
1_7_2012-12-21,97959.11230591327
1_7_2012-12-28,49711.94768172337
1_7_2013-01-04,21063.85486790645
1_7_2013-01-11,11578.935608726035
1_7_2013-01-18,9662.45411740665
1_7_2013-01-25,10613.242048525877
1_7_2013-02-01,14989.231280131276
1_7_2013-02-08,20655.586751055518
1_7_2013-02-15,17099.98774770385
1_7_2013-02-22,17440.35058225646
1_7_2013-03-01,17047.762941372162
1_7_2013-03-08,17773.75981211581
1_7_2013-03-15,20988.818090857174
1_7_2013-03-22,18070.891244140737
1_7_2013-03-29,19442.324722287864
1_7_2013-04-05,24562.385902152204
1_7_2013-04-12,21832.76748903661
1_7_2013-04-19,21465.001916312292
1_7_2013-04-26,19645.70336354707
1_7_2013-05-03,22002.68792726286
1_7_2013-05-10,23124.588381486745
1_7_2013-05-17,21145.68177362924
1_7_2013-05-24,26892.625744041623
1_7_2013-05-31,29643.50334461681
1_7_2013-06-07,29685.82311982466
1_7_2013-06-14,28133.13241413644
1_7_2013-06-21,26067.925382144313
1_7_2013-06-28,25208.115014571387
1_7_2013-07-05,28188.08313148391
1_7_2013-07-12,21038.94035885472
1_7_2013-07-19,18758.47163888274
1_7_2013-07-26,18003.968740509717
1_8_2012-11-02,37819.73010006661
1_8_2012-11-09,36080.22485794043
1_8_2012-11-16,35082.12287255691
1_8_2012-11-23,35222.21799220754
1_8_2012-11-30,36629.68477634788
1_8_2012-12-07,38864.35130349302
1_8_2012-12-14,38102.71360935854
1_8_2012-12-21,41201.828842243915
1_8_2012-12-28,34417.37976023373
1_8_2013-01-04,37439.40467287859
1_8_2013-01-11,35339.590113847924
1_8_2013-01-18,35919.49524745621
1_8_2013-01-25,34942.90743593304
1_8_2013-02-01,40292.02430907783
1_8_2013-02-08,39825.76541726902
1_8_2013-02-15,39049.83560879928
1_8_2013-02-22,38965.37562051406
1_8_2013-03-01,39739.171788745305
1_8_2013-03-08,37690.04225339483
1_8_2013-03-15,37661.28265633324
1_8_2013-03-22,36677.56067878724
1_8_2013-03-29,38881.99685190418
1_8_2013-04-05,41727.760100610685
1_8_2013-04-12,37911.29000531342
1_8_2013-04-19,38498.81168310359
1_8_2013-04-26,39042.59718174435
1_8_2013-05-03,40781.420761598
1_8_2013-05-10,39572.60336245107
1_8_2013-05-17,39646.540571169935
1_8_2013-05-24,40363.17384091147
1_8_2013-05-31,41198.791432157734
1_8_2013-06-07,41567.29612222123
1_8_2013-06-14,40034.744545140355
1_8_2013-06-21,39703.56780204187
1_8_2013-06-28,39277.648441635494
1_8_2013-07-05,41296.838247833526
1_8_2013-07-12,38077.557756172675
1_8_2013-07-19,38991.14480323022
1_8_2013-07-26,37196.29211375285
1_9_2012-11-02,48947.2722717943
1_9_2012-11-09,40679.84663760707
1_9_2012-11-16,33892.35354378445
1_9_2012-11-23,45052.54981545031
1_9_2012-11-30,26944.478333306855
1_9_2012-12-07,29526.470824088
1_9_2012-12-14,30970.981564242113
1_9_2012-12-21,42140.68914431676
1_9_2012-12-28,31064.61434513474
1_9_2013-01-04,23231.5888127401
1_9_2013-01-11,18949.204399511425
1_9_2013-01-18,16061.959978593786
1_9_2013-01-25,15294.262172297696
1_9_2013-02-01,19369.571033350476
1_9_2013-02-08,21027.222910010838
1_9_2013-02-15,24436.991551900275
1_9_2013-02-22,26142.261503878184
1_9_2013-03-01,29208.564274198117
1_9_2013-03-08,29716.307065933637
1_9_2013-03-15,36276.7137089764
1_9_2013-03-22,36110.09755249252
1_9_2013-03-29,46995.7736127143
1_9_2013-04-05,42573.86632803106
1_9_2013-04-12,36347.058555857904
1_9_2013-04-19,32389.947845469072
1_9_2013-04-26,32587.447587648385
1_9_2013-05-03,32752.094006414834
1_9_2013-05-10,30768.950971520375
1_9_2013-05-17,28696.977078782453
1_9_2013-05-24,30318.38717827213
1_9_2013-05-31,33579.05961234131
1_9_2013-06-07,31396.27965046115
1_9_2013-06-14,32610.416757385632
1_9_2013-06-21,31380.537771981915
1_9_2013-06-28,27655.29150205961
1_9_2013-07-05,33252.54782967786
1_9_2013-07-12,24611.817851830125
1_9_2013-07-19,24769.24045635261
1_9_2013-07-26,23411.401007009223
1_10_2012-11-02,32196.42491449062
1_10_2012-11-09,33068.52148059098
1_10_2012-11-16,30787.252028739786
1_10_2012-11-23,33151.4291157113
1_10_2012-11-30,33474.42124957948
1_10_2012-12-07,33031.26909505828
1_10_2012-12-14,32907.401129460864
1_10_2012-12-21,32873.36494091269
1_10_2012-12-28,28469.47537785069
1_10_2013-01-04,30045.320318351358
1_10_2013-01-11,25810.55845366176
1_10_2013-01-18,25839.074485681133
1_10_2013-01-25,24299.642479581984
1_10_2013-02-01,32571.011459969835
1_10_2013-02-08,37035.49011154547
1_10_2013-02-15,39978.050249158965
1_10_2013-02-22,38906.040336705926
1_10_2013-03-01,39612.456458370514
1_10_2013-03-08,37098.15920638842
1_10_2013-03-15,36072.44722084109
1_10_2013-03-22,36315.145676037675
1_10_2013-03-29,43350.49368009689
1_10_2013-04-05,38245.63821119607
1_10_2013-04-12,33312.16870250687
1_10_2013-04-19,33085.72575795156
1_10_2013-04-26,31119.588688493015
1_10_2013-05-03,35008.71969406326
1_10_2013-05-10,33461.44485131008
1_10_2013-05-17,32824.47628599398
1_10_2013-05-24,35054.146080758976
1_10_2013-05-31,37163.516584856676
1_10_2013-06-07,37464.69653989027
1_10_2013-06-14,35082.10578145936
1_10_2013-06-21,35183.72526202762
1_10_2013-06-28,34532.678481975156
1_10_2013-07-05,39478.5946237001
1_10_2013-07-12,34191.2894505657
1_10_2013-07-19,32251.24850832623
1_10_2013-07-26,31742.269834058276
1_11_2012-11-02,26546.77404488787
1_11_2012-11-09,24563.29584852957
1_11_2012-11-16,23618.975933869555
1_11_2012-11-23,27561.746910201946
1_11_2012-11-30,31878.515057030218
1_11_2012-12-07,36977.08680504995
1_11_2012-12-14,31761.146113706578
1_11_2012-12-21,32823.36003021096
1_11_2012-12-28,26236.73531649711
1_11_2013-01-04,26232.79009268074
1_11_2013-01-11,25407.841440581215
1_11_2013-01-18,22173.385599106186
1_11_2013-01-25,19272.97753087619
1_11_2013-02-01,22572.336396623246
1_11_2013-02-08,25394.41944692122
1_11_2013-02-15,25691.978438345835
1_11_2013-02-22,23832.324952592924
1_11_2013-03-01,23491.79972922675
1_11_2013-03-08,23719.57325279563
1_11_2013-03-15,25061.812406391553
1_11_2013-03-22,24895.760863737192
1_11_2013-03-29,25294.636885780412
1_11_2013-04-05,28558.90913256179
1_11_2013-04-12,24350.444081843114
1_11_2013-04-19,23794.469190341937
1_11_2013-04-26,22283.526931720524
1_11_2013-05-03,28443.602011056555
1_11_2013-05-10,28328.918238044917
1_11_2013-05-17,25654.234782252224
1_11_2013-05-24,27225.72001554124
1_11_2013-05-31,29843.245490137433
1_11_2013-06-07,33546.25178429988
1_11_2013-06-14,30243.100287344387
1_11_2013-06-21,29318.503237603953
1_11_2013-06-28,39829.527316829786
1_11_2013-07-05,37405.62612865285
1_11_2013-07-12,31215.628510059538
1_11_2013-07-19,27857.645882423483
1_11_2013-07-26,31750.13059555567
1_12_2012-11-02,10632.0190756749
1_12_2012-11-09,10911.410425019578
1_12_2012-11-16,10516.174522204581
1_12_2012-11-23,8697.285198240977
1_12_2012-11-30,8342.848678968454
1_12_2012-12-07,8411.789226181001
1_12_2012-12-14,8066.439886088968
1_12_2012-12-21,8662.338571074893
1_12_2012-12-28,7850.337912428654
1_12_2013-01-04,7711.377707621687
1_12_2013-01-11,8059.376383662766
1_12_2013-01-18,8965.881172313873
1_12_2013-01-25,8090.885560328886
1_12_2013-02-01,9526.069145937003
1_12_2013-02-08,9641.481803180022
1_12_2013-02-15,10025.96015671925
1_12_2013-02-22,11041.31523157249
1_12_2013-03-01,11404.585048476316
1_12_2013-03-08,12042.392716593324
1_12_2013-03-15,12296.531210504754
1_12_2013-03-22,11948.281575854702
1_12_2013-03-29,12065.65791015305
1_12_2013-04-05,11257.894791411021
1_12_2013-04-12,10925.776466336267
1_12_2013-04-19,11573.982821087322
1_12_2013-04-26,11648.394476356945
1_12_2013-05-03,12519.127059182814
1_12_2013-05-10,11815.66506163156
1_12_2013-05-17,11115.12213351909
1_12_2013-05-24,12427.576811209827
1_12_2013-05-31,11487.994422800442
1_12_2013-06-07,11266.415404805912
1_12_2013-06-14,11713.851130985815
1_12_2013-06-21,10547.764370057816
1_12_2013-06-28,11860.815637399111
1_12_2013-07-05,13044.043260034126
1_12_2013-07-12,10612.750275826198
1_12_2013-07-19,12269.679299368798
1_12_2013-07-26,10926.850550330097
1_13_2012-11-02,41454.68895489631
1_13_2012-11-09,38630.54605311087
1_13_2012-11-16,38227.76160129343
1_13_2012-11-23,39017.656352853686
1_13_2012-11-30,38791.19194738971
1_13_2012-12-07,37793.098866594046
1_13_2012-12-14,35292.76870439916
1_13_2012-12-21,37624.212846533796
1_13_2012-12-28,33699.93013318195
1_13_2013-01-04,39689.48553803282
1_13_2013-01-11,37904.98197601217
1_13_2013-01-18,36921.29626703787
1_13_2013-01-25,35433.346387715465
1_13_2013-02-01,42439.92777134346
1_13_2013-02-08,44516.75084584912
1_13_2013-02-15,41476.243287333746
1_13_2013-02-22,41937.723442922485
1_13_2013-03-01,43426.45306393697
1_13_2013-03-08,41733.927937883636
1_13_2013-03-15,40226.40685478283
1_13_2013-03-22,39418.12387514705
1_13_2013-03-29,39439.78098796278
1_13_2013-04-05,43832.91118889743
1_13_2013-04-12,39976.04636172951
1_13_2013-04-19,40186.95589788264
1_13_2013-04-26,39745.116207183455
1_13_2013-05-03,42127.635549873004
1_13_2013-05-10,40052.64536615746
1_13_2013-05-17,39739.99963783957
1_13_2013-05-24,39213.89488622845
1_13_2013-05-31,40749.183449428776
1_13_2013-06-07,42904.183067617916
1_13_2013-06-14,40573.717132861806
1_13_2013-06-21,40444.09935841685
1_13_2013-06-28,41263.55830031515
1_13_2013-07-05,42727.67151336293
1_13_2013-07-12,40948.08397669566
1_13_2013-07-19,41166.42938286094
1_13_2013-07-26,37385.57158071007
1_14_2012-11-02,13608.794719680487
1_14_2012-11-09,14573.605745810826
1_14_2012-11-16,17295.284896002995
1_14_2012-11-23,35742.42267155576
1_14_2012-11-30,19960.56134473351
1_14_2012-12-07,24494.676106430295
1_14_2012-12-14,26682.44972530669
1_14_2012-12-21,39793.429715066806
1_14_2012-12-28,28846.98358221918
1_14_2013-01-04,18058.51712168256
1_14_2013-01-11,16365.984802336492
1_14_2013-01-18,14168.731316814486
1_14_2013-01-25,13020.04283095084
1_14_2013-02-01,15296.99067555485
1_14_2013-02-08,17580.927507279124
1_14_2013-02-15,20813.802805648513
1_14_2013-02-22,19039.364166108597
1_14_2013-03-01,19801.70737445397
1_14_2013-03-08,17754.246643345716
1_14_2013-03-15,15043.959848680191
1_14_2013-03-22,14067.120264389669
1_14_2013-03-29,14474.118077249019
1_14_2013-04-05,15271.604394831347
1_14_2013-04-12,15206.93159228667
1_14_2013-04-19,14560.7475617421
1_14_2013-04-26,14882.122724426992
1_14_2013-05-03,16225.92763295192
1_14_2013-05-10,15777.722781579396
1_14_2013-05-17,16630.59746870027
1_14_2013-05-24,15163.098457506323
1_14_2013-05-31,15348.754617881339
1_14_2013-06-07,13860.506676614606
1_14_2013-06-14,14389.945890556059
1_14_2013-06-21,14107.858736269118
1_14_2013-06-28,16017.177323926444
1_14_2013-07-05,18530.942017520152
1_14_2013-07-12,15517.586627164676
1_14_2013-07-19,13675.058658916341
1_14_2013-07-26,13028.157611016873
1_16_2012-11-02,7739.509063910482
1_16_2012-11-09,6926.882240736761
1_16_2012-11-16,5291.281395597717
1_16_2012-11-23,7498.409797540305
1_16_2012-11-30,6113.8490578146
1_16_2012-12-07,5382.98956913572
1_16_2012-12-14,5081.556587421635
1_16_2012-12-21,6066.129072008256
1_16_2012-12-28,5059.4558251433255
1_16_2013-01-04,5920.1156887641455
1_16_2013-01-11,5682.229988522012
1_16_2013-01-18,6288.525250148605
1_16_2013-01-25,6180.733101451918
1_16_2013-02-01,8762.946313164402
1_16_2013-02-08,11596.704656072481
1_16_2013-02-15,12602.966376083083
1_16_2013-02-22,18163.144345828947
1_16_2013-03-01,24406.274469696596
1_16_2013-03-08,30247.635178367767
1_16_2013-03-15,40473.269668290784
1_16_2013-03-22,43377.354795394334
1_16_2013-03-29,51768.18036823599
1_16_2013-04-05,54789.218335312595
1_16_2013-04-12,55957.19829306697
1_16_2013-04-19,47840.39230154193
1_16_2013-04-26,44935.32259762383
1_16_2013-05-03,46288.79673459248
1_16_2013-05-10,41710.41489343399
1_16_2013-05-17,40875.954256177334
1_16_2013-05-24,43320.455381063715
1_16_2013-05-31,44553.55682455447
1_16_2013-06-07,38075.6701626534
1_16_2013-06-14,35628.50158703248
1_16_2013-06-21,36981.10142305898
1_16_2013-06-28,38679.816871441486
1_16_2013-07-05,42600.78577844811
1_16_2013-07-12,27567.081186721625
1_16_2013-07-19,25513.789191006697
1_16_2013-07-26,23849.275916825718
1_17_2012-11-02,8017.583985115622
1_17_2012-11-09,7528.1357970466825
1_17_2012-11-16,9193.617029682895
1_17_2012-11-23,11319.217945706368
1_17_2012-11-30,10167.871723066453
1_17_2012-12-07,10782.007761874414
1_17_2012-12-14,11279.520457022905
1_17_2012-12-21,16176.125888169356
1_17_2012-12-28,11936.201893259515
1_17_2013-01-04,8782.41613202605
1_17_2013-01-11,9295.748297799017
1_17_2013-01-18,8211.74062140819
1_17_2013-01-25,7606.574680702788
1_17_2013-02-01,8205.905275651783
1_17_2013-02-08,9941.1300793595
1_17_2013-02-15,11056.221232185157
1_17_2013-02-22,10225.634165559797
1_17_2013-03-01,10852.495482611945
1_17_2013-03-08,11291.352862715203
1_17_2013-03-15,9624.723022600938
1_17_2013-03-22,8361.535834823799
1_17_2013-03-29,8500.751666818585
1_17_2013-04-05,8441.043809892906
1_17_2013-04-12,7585.016564991638
1_17_2013-04-19,8570.169925979022
1_17_2013-04-26,8077.745619755641
1_17_2013-05-03,8910.701208012044
1_17_2013-05-10,8145.256260969711
1_17_2013-05-17,9357.29137609248
1_17_2013-05-24,8045.14985187901
1_17_2013-05-31,7741.569739118505
1_17_2013-06-07,8449.564423287797
1_17_2013-06-14,7311.208902539875
1_17_2013-06-21,8013.687534185124
1_17_2013-06-28,7862.96198630463
1_17_2013-07-05,8240.079714509253
1_17_2013-07-12,7951.937873873704
1_17_2013-07-19,7486.53868297308
1_17_2013-07-26,8278.28505933498
1_18_2012-11-02,7840.1328145425805
1_18_2012-11-09,8068.443562339213
1_18_2012-11-16,8641.306428843134
1_18_2012-11-23,25125.330050752975
1_18_2012-11-30,29366.115054867605
1_18_2012-12-07,43692.208990592604
1_18_2012-12-14,18243.72556395426
1_18_2012-12-21,16643.15547804603
1_18_2012-12-28,16794.54380463295
1_18_2013-01-04,6400.653971743182
1_18_2013-01-11,6487.965034108145
1_18_2013-01-18,7743.306464026839
1_18_2013-01-25,11386.266717753047
1_18_2013-02-01,4783.442593938547
1_18_2013-02-08,4109.210938649889
1_18_2013-02-15,10108.60041134873
1_18_2013-02-22,10919.735141626874
1_18_2013-03-01,9102.745827596182
1_18_2013-03-08,7731.807181409108
1_18_2013-03-15,3639.7911345699954
1_18_2013-03-22,2604.580944173037
1_18_2013-03-29,1028.13604574755
1_18_2013-04-05,5185.897493013097
1_18_2013-04-12,4037.030695255754
1_18_2013-04-19,10094.94064264646
1_18_2013-04-26,5331.285073410665
1_18_2013-05-03,1481.228063824164
1_18_2013-05-10,857.7805096129031
1_18_2013-05-17,1670.1797137169906
1_18_2013-05-24,4914.540633285849
1_18_2013-06-07,1799.2053717164129
1_18_2013-07-05,10511.424157655478
1_19_2012-11-02,1104.9803100121885
1_19_2012-11-09,1092.436835821728
1_19_2012-11-16,984.031234440711
1_19_2012-11-23,1026.4877811624194
1_19_2012-11-30,1614.2172403245795
1_19_2012-12-07,1786.3642528822331
1_19_2012-12-14,1664.2780267268708
1_19_2012-12-21,1826.0106115225035
1_19_2012-12-28,1279.6058892344283
1_19_2013-01-04,1045.7054451253393
1_19_2013-01-11,1246.753853171684
1_19_2013-01-18,591.9967392660936
1_19_2013-01-25,522.7080719446984
1_19_2013-02-01,1247.2855454542998
1_19_2013-02-08,1295.4110329330078
1_19_2013-02-15,1194.573633335367
1_19_2013-02-22,1205.0538843522681
1_19_2013-03-01,719.9364604623511
1_19_2013-03-08,1432.2974842309281
1_19_2013-03-15,1427.1862415122057
1_19_2013-03-22,1344.3796530203429
1_19_2013-03-29,1159.0123519618871
1_19_2013-04-05,1097.515092576292
1_19_2013-04-12,888.3670524768088
1_19_2013-04-19,1185.203774565882
1_19_2013-04-26,917.4543432146634
1_19_2013-05-03,1000.7164383254103
1_19_2013-05-10,1694.3168410692942
1_19_2013-05-17,1622.1325247890607
1_19_2013-05-24,1522.4484312346312
1_19_2013-05-31,1520.2268166171204
1_19_2013-06-07,1280.634300480195
1_19_2013-06-14,1303.3355231285163
1_19_2013-06-21,1370.6226928928263
1_19_2013-06-28,1122.2699526610709
1_19_2013-07-05,1321.1293592711434
1_19_2013-07-12,1148.5771363228273
1_19_2013-07-19,1068.91215342326
1_19_2013-07-26,938.0007347094758
1_20_2012-11-02,3306.788074243408
1_20_2012-11-09,3477.588323221942
1_20_2012-11-16,3088.175118810793
1_20_2012-11-23,4599.201625101045
1_20_2012-11-30,3760.691162256091
1_20_2012-12-07,3411.519565915401
1_20_2012-12-14,3629.752101288695
1_20_2012-12-21,4825.759923654007
1_20_2012-12-28,3901.799661251602
1_20_2013-01-04,3429.4075749399663
1_20_2013-01-11,4161.539901360299
1_20_2013-01-18,3782.918064985722
1_20_2013-01-25,3476.393212045668
1_20_2013-02-01,4103.816970976466
1_20_2013-02-08,5224.902831767776
1_20_2013-02-15,5928.676424316598
1_20_2013-02-22,5261.301666749313
1_20_2013-03-01,5180.068218204195
1_20_2013-03-08,6441.56419076373
1_20_2013-03-15,5276.628104925163
1_20_2013-03-22,4552.7231487033405
1_20_2013-03-29,4926.637443313774
1_20_2013-04-05,4136.3914165285505
1_20_2013-04-12,3672.7280846607637
1_20_2013-04-19,4150.45980394888
1_20_2013-04-26,4299.113977344266
1_20_2013-05-03,4758.617713924796
1_20_2013-05-10,4858.036801062909
1_20_2013-05-17,5082.233193712741
1_20_2013-05-24,4950.10133251256
1_20_2013-05-31,4560.683449366333
1_20_2013-06-07,4763.819793776173
1_20_2013-06-14,4398.12073471666
1_20_2013-06-21,4957.402330385551
1_20_2013-06-28,4672.700220617386
1_20_2013-07-05,5234.325850481732
1_20_2013-07-12,4299.042574172549
1_20_2013-07-19,4503.4600275029625
